player,board1,board2,action
2,274877906944,0,3
1,274877906944,2147483648,4
2,824633720832,2147483648,2
1,824633720832,139586437120,3
2,824650498048,139586437120,2
1,824650498048,140660178944,4
2,828945465344,140660178944,4
1,828945465344,140693733376,3
2,828945596416,140693733376,4
1,828945596416,140693995520,2
2,828953985024,140693995520,5
1,828953985024,1240205623296,4
2,828953987072,1240205623296,3
1,828953987072,1240205624320,0
2,863313725440,1240205624320,5
1,863313725440,1248795558912,0
2,863582160896,1248795558912,0
1,863582160896,1248797656064,2
2,863582226432,1248797656064,2
1,863582226432,1248797656576,1
2,932301703168,1248797656576,1
1,932301703168,1249334527488,2
2,932301703172,1249334527488,0
1,932301703172,1249334543872,0
2,932301703300,1249334543872,3
1,932301703300,1249334543880,0
2,932301703301,1249334543880,4
1,932301703301,1249334543896,6
2,3131324958853,1249334543896,1
1,3131324958853,1249338738200,1
2,3131324991621,1249338738200,1
1,3131324991621,1249338738456,1
2,3131324991623,1249338738456,5
1,3131324991623,1249405847320,6
2,3148504860807,1249405847320,5
1,138546249728,588410519552,4
2,138546511872,588410519552,0
1,138546511872,588678955008,0
2,138548609024,588678955008,6
1,138548609024,2787702210560,3
2,413426515968,2787702210560,0
1,413426515968,2787702226944,6
2,430606385152,2787702226944,2
1,430606385152,2787710615552,5
2,1530118012928,2787710615552,2
1,1530118012928,2787710681088,2
2,1530118013440,2787710681088,4
1,1530118013440,2787710683136,5
2,1538707948032,2787710683136,5
1,1538707948032,2787777792000,5
2,1538708472320,2787777792000,3
1,1538708472320,2789925275648,1
2,1607427949056,2789925275648,5
1,1607427949056,2789925279744,3
2,137438953472,0,3
1,137438953472,274877906944,3
2,139586437120,274877906944,6
1,139586437120,2473901162496,2
2,140660178944,2473901162496,6
1,140660178944,2491081031680,3
2,140676956160,2491081031680,2
1,140676956160,2491089420288,2
2,140677021696,2491089420288,3
1,140677021696,2491089551360,1
2,209396498432,2491089551360,3
1,209396498432,2491089552384,4
2,759152312320,2491089552384,4
1,759152312320,2495384519680,1
2,759689183232,2495384519680,3
1,759689183232,2495384519688,6
2,759823400960,2495384519688,6
1,759823400960,2495385568264,2
2,759823401472,2495385568264,5
1,759823401472,3594897196040,4
2,759856955904,3594897196040,4
1,759856955904,3594897458184,4
2,759856957952,3594897458184,2
1,759856957952,3594897458188,4
2,759856957968,3594897458188,1
1,759856957968,3594901652492,6
2,759856966160,3594901652492,0
1,759856966160,3629261390860,0
2,138512695296,1099511627776,3
1,138512695296,1374389534720,3
2,140660178944,1374389534720,2
1,140660178944,1374397923328,6
2,2339683434496,1374397923328,3
1,2339683434496,1374414700544,2
2,2339683500032,1374414700544,3
1,2339683500032,1374414831616,5
2,2348273434624,1374414831616,0
1,2348273434624,1408774569984,3
2,2348273435648,1408774569984,0
1,2348273435648,1409043005440,0
2,2348275532800,1409043005440,5
1,2348275532800,1409110114304,0
2,2348275549184,1409110114304,2
1,2348275549184,1409110114816,6
2,2365455418368,1409110114816,3
1,2365455418368,1409110114824,5
2,2365455942656,1409110114824,1
1,2365455942656,1477829591560,1
2,2365992813568,1477829591560,1
1,2365992813568,1477833785864,4
2,2915748627456,1477833785864,4
1,2915748627456,1482128753160,4
2,549755813888,0,3
1,549755813888,274877906944,4
2,554050781184,274877906944,4
1,554050781184,274911461376,3
2,556198264832,274911461376,3
1,556198264832,274928238592,0
2,590558003200,274928238592,4
1,590558003200,274928500736,6
2,2789581258752,274928500736,6
1,2789581258752,292108369920,4
2,2789581260800,292108369920,3
1,2789581260800,292108500992,0
2,2789849696256,292108500992,0
1,2789849696256,292110598144,6
2,2789983913984,292110598144,0
1,2789983913984,292110614528,0
2,2789983914112,292110614528,6
1,2789983914112,292111663104,3
2,2789983915136,292111663104,1
1,2789983915136,360831139840,1
2,2790520786048,360831139840,0
1,2790520786048,360831139841,1
2,2790524980352,360831139841,1
1,2790524980352,360831172609,4
2,2790524980368,360831172609,3
1,2790524980368,360831172617,5
2,3890036608144,360831172617,5
1,3890036608144,369421107209,1
2,3890036608400,369421107209,1
1,3890036608400,369421107211,6
2,3890036616592,369421107211,5
1,3890036616592,369488216075,5
2,3890037140880,369488216075,5
1,3890037140880,369488220171,6
2,3890037140944,369488220171,5
1,3890037140944,369488220203,2
2,4027476094416,369488220203,2
1,1408816381952,2226940542976,2
2,1546255335424,2226940542976,6
1,1546255335424,2227074760704,1
1,3298803318784,721554505728,3
2,3573681225728,721554505728,4
1,3573681225728,725849473024,3
2,3575828709376,725849473024,2
1,3575828709376,726923214848,4
2,3575862263808,726923214848,3
1,3575862263808,726939992064,4
2,3575862525952,726939992064,3
1,3575862525952,726940123136,3
2,3575862526976,726940123136,2
1,3575862526976,726948511744,2
2,3575862592512,726948511744,6
1,3575862592512,744128380928,0
2,3575864689664,744128380928,4
1,3575864689664,744128382976,3
2,3575864689672,744128382976,6
1,3575864689672,744262600704,5
2,3584454624264,744262600704,5
1,3584454624264,744329709568,4
2,3584454624280,744329709568,5
1,3584454624280,744330233856,6
2,3584455672856,744330233856,6
1,3584455672856,744330242048,6
2,3584455672920,744330242048,2
1,3584455672920,744330242560,0
2,3584455689304,744330242560,0
1,3584455689304,744330242688,0
2,3584455689305,744330242688,1
1,3584455689305,813049719424,1
2,3584992560217,813049719424,1
1,3584992560217,813053913728,1
2,3584992592985,813053913728,1
1,3584992592985,813053913984,1
2,3584992592987,813053913984,2
1,3584992592987,813053913988,5
2,3584992597083,813053913988,5
2,1447403978752,584652423168,3
1,1447403978752,586799906816,4
2,1447437533184,586799906816,0
1,1447437533184,587068342272,6
2,3646460788736,587068342272,3
1,3646460788736,587085119488,0
2,3646462885888,587085119488,3
1,3646462885888,587085250560,3
2,3646462886912,587085250560,2
1,3646462886912,724524204032,1
2,3646467081216,724524204032,2
2,2216203124736,1099511627776,2
1,2216203124736,1236950581248,4
2,2765958938624,1236950581248,3
1,2765958938624,1511828488192,2
2,2767032680448,1511828488192,4
1,2767032680448,1516123455488,1
2,2835752157184,1516123455488,2
1,2835752157184,1516131844096,2
2,2835752222720,1516131844096,4
1,2835752222720,1516165398528,4
2,2835752484864,1516165398528,1
1,2835752484864,1516702269440,1
2,2835756679168,1516702269440,6
1,2835756679168,1516836487168,1
2,2835756711936,1516836487168,4
1,2835756711936,1516836489216,3
2,2837904195584,1516836489216,4
1,2837904195584,1516836489232,3
2,824633720832,2199023255552,2
1,824633720832,2336462209024,3
2,826781204480,2336462209024,3
1,826781204480,2336478986240,4
2,831076171776,2336478986240,3
1,831076171776,2336479117312,2
2,832149913600,2336479117312,4
1,832149913600,2336512671744,3
2,832149914624,2336512671744,2
1,832149914624,2336521060352,3
2,832149914632,2336521060352,6
1,832149914632,2353700929536,6
2,832284132360,2353700929536,2
1,832284132360,2353700995072,4
2,832284394504,2353700995072,6
1,832284394504,2353702043648,6
2,832284402696,2353702043648,0
1,832284402696,2388061782016,0
2,832552838152,2388061782016,6
1,832552838152,2388061782080,2
2,832552838664,2388061782080,0
1,832552838664,2388063879232,0
2,832552855048,2388063879232,2
1,832552855048,2388063879236,0
2,832552855176,2388063879236,0
1,832552855176,2388063879237,4
2,832552857224,2388063879237,4
1,832552857224,2388063879253,5
2,1932064485000,2388063879253,5
1,155700953088,3023657041920,5
2,1255212580864,3023657041920,4
1,1255212580864,3027952009216,4
2,1255246135296,3027952009216,3
1,1255246135296,3030099492864,3
2,1255262912512,3030099492864,3
1,1255262912512,3030099623936,3
2,1255262913536,3030099623936,1
1,1255262913536,3098819100672,0
2,1289622651904,3098819100672,4
1,1289622651904,3098819362816,2
2,1289622652416,3098819362816,6
1,1289622652416,3098953580544,6
2,1289623700992,3098953580544,3
1,1289623700992,3098953580552,4
2,1289623703040,3098953580552,2
1,1289623703040,3098953580556,6
2,1289623711232,3098953580556,4
1,1289623711232,3098953580572,0
2,1289892146688,3098953580572,0
1,1289892146688,3098955677724,1
2,1290429017600,3098955677724,1
1,1290429017600,3098959872028,1
2,1290429050368,3098959872028,1
1,1290429050368,3098959872284,1
2,1290429050370,3098959872284,0
1,1290429050370,3098959888668,0
2,1290429050498,3098959888668,0
1,1290429050498,3098959888669,6
2,1290429050562,3098959888669,5
1,1290429050562,3107549823261,5
1,0,0,1
2,68719476736,0,2
1,68719476736,137438953472,2
2,69793218560,137438953472,5
1,69793218560,1236950581248,1
2,70330089472,1236950581248,1
1,70330089472,1236954775552,0
2,104689827840,1236954775552,0
1,104689827840,1237223211008,4
2,654445641728,1237223211008,4
1,654445641728,1241518178304,2
2,654454030336,1241518178304,1
1,654454030336,1241518211072,5
2,663043964928,1241518211072,2
1,663043964928,1241518276608,5
2,663111073792,1241518276608,5
1,663111073792,1241518800896,4
2,663144628224,1241518800896,0
1,663144628224,1241520898048,0
2,663144644608,1241520898048,2
1,663144644608,1241520898560,0
2,663144644736,1241520898560,4
1,663144644736,1241521160704,1
2,663144644992,1241521160704,3
1,663144644992,1516399067648,5
2,663144649088,1516399067648,4
1,663144649088,1516399069696,4
2,663144649104,1516399069696,0
1,663144649104,1516399069697,1
2,663144649106,1516399069697,6
1,663144649106,3715422325249,2
2,663144649110,3715422325249,3
1,663144649110,3717569808897,3
1,618475290624,1374389534720,3
2,620622774272,1374389534720,5
1,620622774272,1382979469312,1
2,621159645184,1382979469312,3
1,621159645184,1382996246528,5
2,621226754048,1382996246528,3
1,621226754048,1382996377600,6
2,2820250009600,1382996377600,2
1,2820250009600,1520435331072,6
2,2837429878784,1520435331072,4
1,2837429878784,1524730298368,5
2,2837430403072,1524730298368,4
1,2837430403072,1524763852800,1
2,2837434597376,1524763852800,1
1,2837434597376,1524763885568,3
2,2837434598400,1524763885568,4
1,2837434598400,1524764147712,4
2,2837434600448,1524764147712,5
1,2837434600448,1524764151808,2
2,2838508342272,1524764151808,2
1,2838508342272,1524772540416,5
2,2838508342304,1524772540416,2
2,1322849927168,2233919864832,3
1,1322849927168,2508797771776,3
2,1324997410816,2508797771776,5
1,1324997410816,2517387706368,1
2,1325001605120,2517387706368,1
1,1325001605120,2517387739136,5
2,1325068713984,2517387739136,3
1,1325068713984,2517404516352,3
2,1325068845056,2517404516352,6
1,1325068845056,2517538734080,5
2,1325069369344,2517538734080,0
1,1325069369344,2517807169536,0
2,1325071466496,2517807169536,5
1,1325071466496,2517807173632,1
2,1325071466752,2517807173632,6
1,1325071466752,2517808222208,3
2,1325071467776,2517808222208,2
1,1325071467776,2518881964032,6
2,1325071475968,2518881964032,2
1,1325071475968,2518890352640,2
2,1325071541504,2518890352640,3
1,1325071541504,2518890352648,1
2,1325071541506,2518890352648,0
1,1325071541506,2518890369032,0
2,1325071541634,2518890369032,2
1,1325071541634,2518890369544,6
2,1325071541698,2518890369544,0
1,1325071541698,2518890369545,2
2,1325071541702,2518890369545,4
1,1325071541702,3068646183433,4
2,1329366508998,3068646183433,4
1,1329366508998,3068679737865,4
1,277025390592,687194767360,4
2,281320357888,687194767360,2
1,281320357888,688268509184,1
2,350039834624,688268509184,3
1,350039834624,688285286400,3
2,350039965696,688285286400,1
1,350039965696,688822157312,4
2,350073520128,688822157312,4
1,350073520128,688822419456,2
2,350081908736,688822419456,1
1,350081908736,688826613760,1
2,350081941504,688826613760,3
1,350081941504,688826614784,2
2,350082007040,688826614784,2
1,350082007040,688826615296,4
2,350082009088,688826615296,2
1,350082009088,688826615300,6
2,2549105264640,688826615300,3
1,2549105264640,688826615308,4
2,2549105264656,688826615308,6
1,2549105264656,706006484492,0
2,2583465003024,706006484492,6
1,2583465003024,706140702220,0
2,2583733438480,706140702220,0
1,2583733438480,706142799372,0
1,173946175488,1924145348608,6
2,2372969431040,1924145348608,5
1,2372969431040,1932735283200,4
2,2377264398336,1932735283200,4
1,2377264398336,1932768837632,5
2,2377331507200,1932768837632,4
1,2377331507200,1932769099776,4
2,2377331509248,1932769099776,2
1,2377331509248,1933842841600,3
2,2377348286464,1933842841600,3
1,2377348286464,1933842972672,5
2,2377348810752,1933842972672,2
1,2377348810752,1933851361280,3
2,2377348811776,1933851361280,5
1,2377348811776,1933851365376,3
2,2377348811784,1933851365376,0
1,2377348811784,1934119800832,4
2,2377348811800,1934119800832,5
1,2377348811800,1934119800864,0
2,2377350908952,1934119800864,0
1,2377350908952,1934119817248,0
2,2377350909080,1934119817248,1
1,2377350909080,2002839293984,0
2,2377350909081,2002839293984,1
1,2377350909081,2003376164896,1
2,2377355103385,2003376164896,2
1,2377355103385,2003376230432,1
2,2377355136153,2003376230432,2
1,69256347648,2748779069440,3
2,344134254592,2748779069440,1
1,344134254592,2748783263744,4
2,348429221888,2748783263744,0
1,348429221888,2783143002112,3
2,350576705536,2783143002112,6
1,350576705536,2800322871296,4
2,350610259968,2800322871296,3
1,350610259968,2800339648512,6
2,350744477696,2800339648512,4
1,350744477696,2800339910656,1
2,350744510464,2800339910656,3
1,350744510464,2800340041728,3
2,350744511488,2800340041728,6
1,350744511488,2800341090304,4
2,350744513536,2800341090304,0
1,350744513536,2800609525760,0
2,350746610688,2800609525760,1
1,350746610688,2800609526016,0
2,350746627072,2800609526016,0
1,350746627072,2800609526144,0
2,350746627073,2800609526144,3
1,350746627073,2800609526152,5
2,1450258254849,2800609526152,6
1,1450258254849,2800609534344,4
2,1450258254865,2800609534344,6
1,1450258254865,2800609534408,2
2,1587697208337,2800609534408,2
1,1587697208337,2801683276232,2
2,1587705596945,2801683276232,1
1,1587705596945,2801683276234,2
2,1587705662481,2801683276234,2
1,1587705662481,2801683276746,2
2,1587705662485,2801683276746,5
1,1587705662485,2810273211338,5
2,1587772771349,2810273211338,5
2,2542620639232,566935683072,0
1,2542620639232,601295421440,4
2,2546915606528,601295421440,3
1,2546915606528,603442905088,3
2,2546932383744,603442905088,0
1,2546932383744,603711340544,1
2,2547469254656,603711340544,1
1,2547469254656,603715534848,3
2,2547469385728,603715534848,1
1,2547469385728,603715567616,0
2,2547471482880,603715567616,3
1,2547471482880,603715568640,4
2,2547505037312,603715568640,4
1,2547505037312,603715830784,5
2,3647016665088,603715830784,5
1,3647016665088,612305765376,5
2,3647083773952,612305765376,2
1,3647083773952,749744718848,6
2,2199023255552,0,0
1,2199023255552,34359738368,3
2,2473901162496,34359738368,4
1,2473901162496,584115552256,3
2,2476048646144,584115552256,4
1,2476048646144,588410519552,4
2,2476082200576,588410519552,3
1,2476082200576,588427296768,3
2,2476082331648,588427296768,4
1,2476082331648,588427558912,6
2,2493262200832,588427558912,1
1,2493262200832,657147035648,1
2,2493799071744,657147035648,6
1,2493799071744,657281253376,0
2,2494067507200,657281253376,3
1,2494067507200,657281254400,3
2,2494067507208,657281254400,1
1,2494067507208,657285448704,1
2,2494067539976,657285448704,6
1,2494067539976,657286497280,0
2,2494069637128,657286497280,0
1,2494069637128,657286513664,6
2,2494069645320,657286513664,6
1,2494069645320,657286513728,0
2,2494069645448,657286513728,4
1,2494069645448,657286515776,1
2,2494069645704,657286515776,4
1,2494069645704,657286515792,0
2,2494069645705,657286515792,1
1,2494069645705,657286515794,5
2,3593581273481,657286515794,5
1,3593581273481,665876450386,5
2,3593648382345,665876450386,5
1,3593648382345,665876974674,5
2,3593648386441,665876974674,5
1,3593648386441,665876974706,2
